Time	[Ca]	[G]	[PLC]
0	10	10	10
0.5	3.81576	263.42	63.3919
1	17.8633	1135.33	348.974
1.5	82.4004	3851.13	1339.37
2	1531.59	11267.2	4403.94
2.5	6690	7573.79	8594.3
3	725.812	9490.07	9538.35
3.5	5335.97	10835.8	12088.3
4	986.562	9897.11	13093.3
4.5	2621.3	10539.4	14469.9
5	1253.03	10000.8	15257.8
5.5	1256.87	9958.19	15854.1
6	975.653	9641.14	16201.8
6.5	743.558	9240.55	16280.2
7	549.571	8699.61	16083.6
7.5	380.486	7907.79	15563.2
8	228.079	6600.12	14585.8
8.5	91.9096	4092.25	12810.3
9	0.0726163	4.95224	9491.9
9.5	0.0654635	4.61248	6125.24
10	0.109229	7.69488	3813.89
10.5	0.19275	13.5734	2312.99
11	0.365012	25.6809	1382.08
11.5	0.767296	53.8639	828.662
12	1.8901	131.817	524.721
12.5	5.62918	383.887	420.751
13	19.4289	1223.7	607.461
13.5	82.823	3863.61	1517.92
14	1437.58	11130.8	4482.53
14.5	6926.91	7752.44	8674.13
15	719.777	9470.16	9610.07
15.5	5274.39	10863.9	12131.6
16	986.897	9894.09	13139.5
16.5	2587.41	10536.4	14499.2
17	1253.23	9996.9	15283.2
17.5	1243.19	9946.39	15868.4
18	967.615	9630.28	16207.1
18.5	737.469	9227.21	16277.8
19	544.551	8681.63	16073
19.5	376.155	7880.93	15542.6
20	224.244	6553.83	14550
20.5	88.6787	3999.39	12746
21	0.0545405	3.77648	9388.38
21.5	0.0663042	4.6717	6052.14
22	0.110785	7.80447	3765.28
22.5	0.195809	13.7886	2282.27
23	0.371625	26.1452	1363.45
23.5	0.783867	55.022	817.91
24	1.94035	135.281	519.438
24.5	5.8056	395.501	421.057
25	20.1071	1261.67	618.94
25.5	86.6322	3979.53	1560.45
26	1625.56	11376.6	4608.41
26.5	6325.83	7503.87	8700.91
27	766.927	9598.76	9659.95
27.5	5249.83	10728.3	12182.6
28	1023.34	9953.02	13169.2
28.5	2571.28	10499.7	14529.5
29	1254.68	10002.5	15300.1
29.5	1236.77	9939.36	15880.8
30	960.933	9620.99	16212.4
30.5	732.001	9215.04	16276
31	539.865	8664.59	16063.6
31.5	371.978	7854.59	15523.4
32	220.447	6507.06	14515.3
32.5	85.4323	3903.63	12681.5
33	0.0473984	3.3133	9285.55
33.5	0.0671593	4.73194	5979.65
34	0.11237	7.91607	3717.16
34.5	0.198931	14.0082	2251.88
35	0.378393	26.6204	1345.05
35.5	0.800907	56.2126	807.309
36	1.99228	138.859	514.279
36.5	5.98839	407.508	421.551
37	20.8124	1300.87	630.9
37.5	90.6806	4098.93	1604.38
38	1837.09	11617.4	4737.06
38.5	5686.59	7281.58	8723.67
39	818.693	9728.41	9711.57
39.5	5201.11	10588.9	12231
40	1061.71	10011.4	13199.7
40.5	2549.32	10462.1	14559.1
41	1256.82	10007.9	15317.1
41.5	1230.14	9932.17	15893.1
42	954.278	9611.62	16217.4
42.5	726.55	9202.75	16274.1
43	535.19	8647.36	16054
43.5	367.817	7827.94	15503.8
44	216.662	6459.51	14480.1
44.5	82.2069	3805.94	12616
45	0.0448442	3.14918	9183.57
45.5	0.0680279	4.79313	5907.89
46	0.113982	8.02959	3669.59
46.5	0.202113	14.2321	2221.88
47	0.385313	27.1062	1326.89
47.5	0.81841	57.4354	796.873
48	2.04588	142.549	509.25
48.5	6.17751	419.904	422.235
49	21.5451	1341.26	643.338
49.5	94.9823	4221.73	1649.7
50	2072.96	11851.4	4868.17
