time,G,PLC,Ca
0.0,437.98238476999734,-757.68132914069804,-227.90922403201202
5.0,10984.142098499289,14420.541508923903,3078.9677906768688
10.0,2737.2445366742832,4246.7199073080319,-2497.8534522644363
15.0,10134.288941402603,10705.26310280813,1162.8591363200726
20.0,7538.9184192168887,13118.358925508635,382.35695488393338
25.0,1906.0092510239751,-137.9952923302684,-1605.2219924760996
30.0,10989.041413096045,15119.123108623022,270.99004127384978
40.0,11943.540060317213,13996.858020315085,5750.4586307627951
50.0,570.98030041287939,1353.1626893030989,-2091.7846297210463
60.0,-1502.5991337861817,3015.2824105586242,1493.8671920304755
80.0,9596.3216066053574,15987.183862193917,1887.5607504498421
nan,nan,nan,nan
