time,A,B
0.0,71.0,79.0
2.0408163265306123,131.0,58.0
4.0816326530612246,254.0,61.0
6.1224489795918373,448.0,170.0
8.1632653061224492,178.0,550.0
10.204081632653061,31.0,458.0
12.244897959183675,15.0,256.0
14.285714285714286,23.0,146.0
16.326530612244898,29.0,81.0
18.367346938775512,65.0,46.0
20.408163265306122,131.0,45.0
22.448979591836736,243.0,61.0
24.489795918367349,413.0,170.0
26.530612244897959,203.0,504.0
28.571428571428573,56.0,497.0
30.612244897959183,22.0,282.0
32.653061224489797,33.0,177.0
34.693877551020407,40.0,127.0
36.734693877551024,89.0,82.0
38.775510204081634,155.0,92.0
40.816326530612244,269.0,132.0
42.857142857142861,255.0,294.0
44.897959183673471,80.0,420.0
46.938775510204081,36.0,310.0
48.979591836734699,28.0,193.0
51.020408163265309,47.0,118.0
53.061224489795919,92.0,91.0
55.102040816326529,158.0,93.0
57.142857142857146,292.0,126.0
59.183673469387756,285.0,321.0
61.224489795918366,78.0,432.0
63.265306122448983,52.0,321.0
65.306122448979593,37.0,212.0
67.34693877551021,43.0,120.0
69.387755102040813,96.0,78.0
71.428571428571431,151.0,80.0
73.469387755102048,242.0,129.0
75.510204081632651,269.0,235.0
77.551020408163268,144.0,368.0
79.591836734693885,62.0,325.0
81.632653061224488,27.0,209.0
83.673469387755105,35.0,141.0
85.714285714285722,82.0,90.0
87.755102040816325,116.0,85.0
89.795918367346943,221.0,100.0
91.83673469387756,293.0,201.0
93.877551020408163,216.0,387.0
95.91836734693878,87.0,431.0
97.959183673469397,23.0,315.0
100.0,12.0,175.0
